Jersey,Player,Team,Player_ID
2,Taylor Hart,AMB,2001
3,Ashlyn Zylstra,AMB,2002
4,Reanna Chmilar,AMB,2003
5,Halle Blocha,AMB,2004
7,Jillian Bieraugle,AMB,2005
8,Macie Kehler,AMB,2006
9,Brooklyn Deol,AMB,2007
10,Sadee Toews,AMB,2008
11,Jayna Thulien,AMB,2009
12,Kya Wildeman,AMB,2010
13,Elise Wagner,AMB,2011
15,Emilie Pregal,AMB,2012
16,Rachel Barg,AMB,2013
17,Jenelle Martens,AMB,2014
18,Alyvia Williams,AMB,2015
19,Lilah Pratt,AMB,2016
20,Keira Crellin,AMB,2017
1,Hunter Fabian,BC,2018
2,Brynn Hardy,BC,2019
3,Kacey Dale,BC,2020
4,Brooklyn Houde,BC,2021
5,Breanna Gryba,BC,2022
6,Zoe Schwindt,BC,2023
9,Kallie Kniesel,BC,2024
10,Rachel Stead,BC,2025
11,Annika Wonnick,BC,2026
12,Natalie Baker,BC,2027
13,Alivia Fraser,BC,2028
14,Marie Tsougrianis,BC,2029
15,Abby Ulrich,BC,2030
16,Kimi Marasigan,BC,2031
17,Alyssa Revet,BC,2032
18,Mya Peterson,BC,2033
1,Justine May,CUE,2034
2,Paige Luttrell,CUE,2035
3,Olivia Spelt,CUE,2036
4,Denae Hordal,CUE,2037
5,Londyn Marshall,CUE,2038
6,Brooke Weber,CUE,2039
7,Stephanie Kendziora,CUE,2040
8,Emma Tran,CUE,2041
9,Jenna May,CUE,2042
10,Alex MacDonald,CUE,2043
11,Emma Thompson,CUE,2044
12,Caitlin Wylie,CUE,2045
13,Shelby Reibin,CUE,2046
14,Chloe Hove,CUE,2047
15,Kolby Zimmer,CUE,2048
16,Summer Radford,CUE,2049
17,Andi Neudorf,CUE,2050
18,Kayla Burns,CUE,2051
19,Kenzie Kohut,CUE,2052
1,Adyson Wilson,KC,2053
2,Klara Kubicka,KC,2054
3,Drew Jacobson,KC,2055
4,Gabrielle Buffong,KC,2056
5,Rebecca Scribner,KC,2057
6,Jordi Hazen,KC,2058
7,Erika Box,KC,2059
8,Allie McCracken,KC,2060
9,Saige Kehoe,KC,2061
10,Rory Bell,KC,2062
11,Milan Schapowal,KC,2063
12,Natasa Maric,KC,2064
13,Taya McCarthy,KC,2065
14,Payton Hollinger,KC,2066
15,Kylee Lotoski,KC,2067
16,Makala Wideman,KC,2068
17,Amanda Onyeukwu,KC,2069
18,Emma Simms,KC,2070
RS,Presley Wight,KC,2071
2,Mya Lavallee,LAKE,2072
3,Charlotte Adamcryck,LAKE,2073
4,Shae Steinley,LAKE,2074
5,Olivia DeDecker,LAKE,2075
6,Taylor Bugg,LAKE,2076
7,Avery Bates,LAKE,2077
8,Alexis Rehmann,LAKE,2078
9,Emma Jeffs,LAKE,2079
10,Seanna Trumier,LAKE,2080
11,Emerson Lawless,LAKE,2081
12,Dineka Elchyson,LAKE,2082
15,Raegan Nicol,LAKE,2083
16,Katelyn Mazurkewich,LAKE,2084
17,Shaya Lanigan,LAKE,2085
18,Addison Clemis,LAKE,2086
19,Carly Hawryluk,LAKE,2087
1,Olivia Wideman,LPK,2088
2,Kourtney Serfas,LPK,2089
3,Robyn Austin,LPK,2090
4,Trinity Walton,LPK,2091
6,Quincy Price,LPK,2092
7,Reese Lund,LPK,2093
8,Jorja Hamilton,LPK,2094
9,Madison Yates,LPK,2095
10,Robyn Rivard,LPK,2096
11,Sofia Janzen,LPK,2097
12,Emma Blumenschein,LPK,2098
13,Reese Hanusich,LPK,2099
14,Alexis Davenport,LPK,2100
16,Kiara Wilson,LPK,2101
17,Aylah Vanderwerff,LPK,2102
18,Keyarah Tofin,LPK,2103
20,Lauren Barker,LPK,2104
2,Zoe Fussell,MHC,2105
3,Mya Lawrence,MHC,2106
4,Jillian Polupski,MHC,2107
5,Fayth Spencer,MHC,2108
6,Carly Penner,MHC,2109
7,Haylee Fleck,MHC,2110
8,Jaivyn Barabe,MHC,2111
9,Cianna Chalack,MHC,2112
10,Ashley Morrison,MHC,2113
11,Taylor Rosenau,MHC,2114
12,Jailyn Painter,MHC,2115
13,Tannah McKay,MHC,2116
14,Alyssa Cudmore,MHC,2117
15,Sophia Robertson,MHC,2118
18,Christina Semple,MHC,2119
20,Lillian Moore,MHC,2120
21,Anna Schick,MHC,2121
1,Madge Prince,NAIT,2122
2,Makenna Doyle,NAIT,2123
4,Aysha Savoury,NAIT,2124
5,Rachel Mallett,NAIT,2125
6,Alexandra Benson,NAIT,2126
7,Addysen Noble,NAIT,2127
8,Racquel Lussier,NAIT,2128
9,Lexi Gedny,NAIT,2129
10,Casey Gilmour,NAIT,2130
11,Katie Nashim,NAIT,2131
12,Tanisha McQueen,NAIT,2132
14,Emma Buyar,NAIT,2133
15,Egypt Trydal,NAIT,2134
16,Keydence Seward,NAIT,2135
18,Ashley Wiesener,NAIT,2136
1,Sierra LaValley,NWP,2137
2,Sophia Smoke,NWP,2138
3,Reese Holman,NWP,2139
4,Alexa Hryciuk,NWP,2140
5,Ivey Hansma,NWP,2141
6,Avery Hucker,NWP,2142
7,Aleksa Watts,NWP,2143
9,Harshpreet Dhaliwal,NWP,2144
10,Savannah Lambert,NWP,2145
11,Josie Lund,NWP,2146
12,Haley Demmans,NWP,2147
13,Helaina Zeyha,NWP,2148
15,Gillian Head,NWP,2149
16,Gabrielle Capelle,NWP,2150
1,Hannah Stewart,OC,2151
2,Lisa Buchard,OC,2152
3,Kennedy Paget,OC,2153
4,True MacDonald,OC,2154
5,Elli-Anna McDougald,OC,2155
6,Hayden gervais,OC,2156
7,Mykayla Best,OC,2157
8,Paisley Bamford,OC,2158
9,Ella Kivi,OC,2159
10,Raya Jorgensen,OC,2160
11,Ava Campbell,OC,2161
12,Faith Buffalo,OC,2162
13,Kalyna Bahler,OC,2163
14,Jett MacDonald,OC,2164
15,Camryn McDougald,OC,2165
16,Lexi Lafreniere,OC,2166
18,Andrea Geraghty,OC,2167
19,Taylor Boettcher,OC,2168
1,Sarah Mistol,RDP,2169
2,Corey Hannett,RDP,2170
3,Reid Adams,RDP,2171
4,Rhyen Hannett,RDP,2172
5,Nadia McKeage,RDP,2173
6,Riley Dand,RDP,2174
7,Rachel Perry,RDP,2175
8,Julia Pedersen,RDP,2176
9,Maria Brouwer,RDP,2177
10,Raya Roesler,RDP,2178
11,Lyla McKeage,RDP,2179
12,Marin Walton,RDP,2180
13,Maddy DeZutter,RDP,2181
14,Jailyn Stouffer,RDP,2182
15,Brooke Bergstrom,RDP,2183
16,Autumn Letwin,RDP,2184
1,Sarah Henriksen,SAIT,2185
3,Grace Florence,SAIT,2186
4,Liv Sladek,SAIT,2187
5,Arewyn Rae,SAIT,2188
6,Madison Dyck,SAIT,2189
7,Mia Delaquis,SAIT,2190
8,Lily Vandermolen,SAIT,2191
9,Avery Sande,SAIT,2192
10,Zenna Miller,SAIT,2193
11,Temi Bankole,SAIT,2194
13,Jocelyn Ruark,SAIT,2195
15,Sophia Ferguson,SAIT,2196
16,Crystal Webber,SAIT,2197
18,Mercedes Reinhart,SAIT,2198
